gameId,season,reason
1022200051,2022,season_not_in_canonical_box(2025-2026 only)
1022200052,2022,season_not_in_canonical_box(2025-2026 only)
1022200053,2022,season_not_in_canonical_box(2025-2026 only)
1022200054,2022,season_not_in_canonical_box(2025-2026 only)
1022200055,2022,season_not_in_canonical_box(2025-2026 only)
1022200056,2022,season_not_in_canonical_box(2025-2026 only)
1022200057,2022,season_not_in_canonical_box(2025-2026 only)
1022200058,2022,season_not_in_canonical_box(2025-2026 only)
1022200059,2022,season_not_in_canonical_box(2025-2026 only)
1022200060,2022,season_not_in_canonical_box(2025-2026 only)
1022200061,2022,season_not_in_canonical_box(2025-2026 only)
1022200062,2022,season_not_in_canonical_box(2025-2026 only)
1022200063,2022,season_not_in_canonical_box(2025-2026 only)
1022200064,2022,season_not_in_canonical_box(2025-2026 only)
1022200065,2022,season_not_in_canonical_box(2025-2026 only)
1022200066,2022,season_not_in_canonical_box(2025-2026 only)
1022200067,2022,season_not_in_canonical_box(2025-2026 only)
1022200068,2022,season_not_in_canonical_box(2025-2026 only)
1022200069,2022,season_not_in_canonical_box(2025-2026 only)
1022200070,2022,season_not_in_canonical_box(2025-2026 only)
1022200071,2022,season_not_in_canonical_box(2025-2026 only)
1022200072,2022,season_not_in_canonical_box(2025-2026 only)
1022200073,2022,season_not_in_canonical_box(2025-2026 only)
1022200074,2022,season_not_in_canonical_box(2025-2026 only)
1022200075,2022,season_not_in_canonical_box(2025-2026 only)
1022200076,2022,season_not_in_canonical_box(2025-2026 only)
1022200077,2022,season_not_in_canonical_box(2025-2026 only)
1022200078,2022,season_not_in_canonical_box(2025-2026 only)
1022200079,2022,season_not_in_canonical_box(2025-2026 only)
1022200080,2022,season_not_in_canonical_box(2025-2026 only)
1022200081,2022,season_not_in_canonical_box(2025-2026 only)
1022200082,2022,season_not_in_canonical_box(2025-2026 only)
1022200083,2022,season_not_in_canonical_box(2025-2026 only)
1022200084,2022,season_not_in_canonical_box(2025-2026 only)
1022200085,2022,season_not_in_canonical_box(2025-2026 only)
1022200086,2022,season_not_in_canonical_box(2025-2026 only)
1022200087,2022,season_not_in_canonical_box(2025-2026 only)
1022200088,2022,season_not_in_canonical_box(2025-2026 only)
1022200089,2022,season_not_in_canonical_box(2025-2026 only)
1022200090,2022,season_not_in_canonical_box(2025-2026 only)
1022200091,2022,season_not_in_canonical_box(2025-2026 only)
1022200092,2022,season_not_in_canonical_box(2025-2026 only)
1022200093,2022,season_not_in_canonical_box(2025-2026 only)
1022200094,2022,season_not_in_canonical_box(2025-2026 only)
1022200095,2022,season_not_in_canonical_box(2025-2026 only)
1022200096,2022,season_not_in_canonical_box(2025-2026 only)
1022200097,2022,season_not_in_canonical_box(2025-2026 only)
1022200098,2022,season_not_in_canonical_box(2025-2026 only)
1022200099,2022,season_not_in_canonical_box(2025-2026 only)
1022200100,2022,season_not_in_canonical_box(2025-2026 only)
1022200101,2022,season_not_in_canonical_box(2025-2026 only)
1022200102,2022,season_not_in_canonical_box(2025-2026 only)
1022200103,2022,season_not_in_canonical_box(2025-2026 only)
1022200104,2022,season_not_in_canonical_box(2025-2026 only)
1022200105,2022,season_not_in_canonical_box(2025-2026 only)
1022200106,2022,season_not_in_canonical_box(2025-2026 only)
1022200107,2022,season_not_in_canonical_box(2025-2026 only)
1022200108,2022,season_not_in_canonical_box(2025-2026 only)
1022200109,2022,season_not_in_canonical_box(2025-2026 only)
1022200110,2022,season_not_in_canonical_box(2025-2026 only)
1022200111,2022,season_not_in_canonical_box(2025-2026 only)
1022200112,2022,season_not_in_canonical_box(2025-2026 only)
1022200113,2022,season_not_in_canonical_box(2025-2026 only)
1022200114,2022,season_not_in_canonical_box(2025-2026 only)
1022200115,2022,season_not_in_canonical_box(2025-2026 only)
1022200116,2022,season_not_in_canonical_box(2025-2026 only)
1022200117,2022,season_not_in_canonical_box(2025-2026 only)
1022200118,2022,season_not_in_canonical_box(2025-2026 only)
1022200119,2022,season_not_in_canonical_box(2025-2026 only)
1022200120,2022,season_not_in_canonical_box(2025-2026 only)
1022200121,2022,season_not_in_canonical_box(2025-2026 only)
1022200122,2022,season_not_in_canonical_box(2025-2026 only)
1022200123,2022,season_not_in_canonical_box(2025-2026 only)
1022200124,2022,season_not_in_canonical_box(2025-2026 only)
1022200125,2022,season_not_in_canonical_box(2025-2026 only)
1022200126,2022,season_not_in_canonical_box(2025-2026 only)
1022200127,2022,season_not_in_canonical_box(2025-2026 only)
1022200128,2022,season_not_in_canonical_box(2025-2026 only)
1022200129,2022,season_not_in_canonical_box(2025-2026 only)
1022200130,2022,season_not_in_canonical_box(2025-2026 only)
1022200131,2022,season_not_in_canonical_box(2025-2026 only)
1022200132,2022,season_not_in_canonical_box(2025-2026 only)
1022200133,2022,season_not_in_canonical_box(2025-2026 only)
1022200134,2022,season_not_in_canonical_box(2025-2026 only)
1022200135,2022,season_not_in_canonical_box(2025-2026 only)
1022200136,2022,season_not_in_canonical_box(2025-2026 only)
1022200137,2022,season_not_in_canonical_box(2025-2026 only)
1022200138,2022,season_not_in_canonical_box(2025-2026 only)
1022200139,2022,season_not_in_canonical_box(2025-2026 only)
1022200140,2022,season_not_in_canonical_box(2025-2026 only)
1022200141,2022,season_not_in_canonical_box(2025-2026 only)
1022200142,2022,season_not_in_canonical_box(2025-2026 only)
1022200143,2022,season_not_in_canonical_box(2025-2026 only)
1022200144,2022,season_not_in_canonical_box(2025-2026 only)
1022200145,2022,season_not_in_canonical_box(2025-2026 only)
1022200146,2022,season_not_in_canonical_box(2025-2026 only)
1022200147,2022,season_not_in_canonical_box(2025-2026 only)
1022200148,2022,season_not_in_canonical_box(2025-2026 only)
1022200149,2022,season_not_in_canonical_box(2025-2026 only)
1022200150,2022,season_not_in_canonical_box(2025-2026 only)
1022200151,2022,season_not_in_canonical_box(2025-2026 only)
1022200152,2022,season_not_in_canonical_box(2025-2026 only)
1022200153,2022,season_not_in_canonical_box(2025-2026 only)
1022200154,2022,season_not_in_canonical_box(2025-2026 only)
1022200155,2022,season_not_in_canonical_box(2025-2026 only)
1022200156,2022,season_not_in_canonical_box(2025-2026 only)
1022200157,2022,season_not_in_canonical_box(2025-2026 only)
1022200158,2022,season_not_in_canonical_box(2025-2026 only)
1022200159,2022,season_not_in_canonical_box(2025-2026 only)
1022200160,2022,season_not_in_canonical_box(2025-2026 only)
1022200161,2022,season_not_in_canonical_box(2025-2026 only)
1022200162,2022,season_not_in_canonical_box(2025-2026 only)
1022200163,2022,season_not_in_canonical_box(2025-2026 only)
