stat,family,mean,variance,stored_mass,overflow,normalization_error,support_max
pts,mixture,14.104694761703215,32.375806325736164,0.9999999999163733,8.362578314943081e-11,8.881784197001252e-16,80
pts,mixture,19.6914235913999,57.36521714190553,0.9999995588754121,4.4112458681244286e-07,9.992007221626409e-16,80
pts,mixture,14.594120869027348,43.668185581136356,0.9999999785397463,2.1460253869679954e-08,2.220446049250313e-16,80
pts,mixture,5.706422867624998,17.980821458949684,0.9999999984833471,1.516652816740406e-09,1.1102230246251565e-16,80
pts,mixture,12.337765459873946,28.97681501552003,0.9999999997997999,2.0019952606921115e-10,5.551115123125783e-16,80
pts,mixture,2.6276491712456638,7.627655506443893,0.9999999996091117,3.9088830579081215e-10,0.0,80
pts,mixture,2.350965351447819,5.238322810609751,0.9999999999999776,2.2233669628852158e-14,2.220446049250313e-16,80
pts,mixture,3.3253798215409924,7.893719286818884,0.9999999999997792,2.208733042486669e-13,0.0,80
pts,mixture,8.178914099183723,28.452185137119912,0.9999999878464665,1.2153533569995546e-08,0.0,80
pts,mixture,14.258877730992806,44.475400136998246,0.9999999388294758,6.117052447705734e-08,2.220446049250313e-16,80
pts,mixture,5.082314968101953,20.11294359475167,0.9999999396662936,6.033370680909603e-08,4.440892098500626e-16,80
pts,mixture,14.86891113008289,46.40532984620231,0.9999999342884832,6.571151682847243e-08,0.0,80
pts,mixture,7.13591629120989,22.504203239268705,0.9999999989441671,1.0558329446419438e-09,0.0,80
pts,mixture,1.2670426081494117,2.7509847580736038,0.9999999999997409,2.5924999491322307e-13,2.220446049250313e-16,80
pts,mixture,13.790578614378333,33.52763473569746,0.9999999991906516,8.093475439093363e-10,7.771561172376096e-16,80
pts,mixture,3.4447552880452466,12.53393639640279,0.999999960883524,3.911647655771357e-08,6.661338147750939e-16,80
pts,mixture,17.760830957728643,49.01665383606917,0.9999999196316307,8.036836823597898e-08,1.1102230246251565e-15,80
pts,mixture,4.3488656179059975,15.69196183165321,0.9999999858636309,1.4136369607395718e-08,4.440892098500626e-16,80
pts,mixture,2.9168403425815512,9.385260063677014,0.9999999955578893,4.4421109123663675e-09,2.220446049250313e-16,80
pts,mixture,9.622194303524052,19.768923500130384,0.999999999999776,2.239166148848992e-13,1.1102230246251565e-16,80
pts,mixture,3.3704576703024265,7.55421429805269,0.9999999999999866,1.3392094946921896e-14,0.0,80
pts,mixture,6.251140574772488,19.731600660852166,0.999999998616577,1.3834232376703346e-09,2.220446049250313e-16,80
pts,mixture,2.314703376188397,5.15724999990336,0.9999999999999775,2.2992201979379094e-14,4.440892098500626e-16,80
pts,mixture,15.237064942808782,39.24656908008467,0.9999999926048712,7.3951278668943215e-09,9.992007221626409e-16,80
pts,mixture,3.394983343582815,8.833877780553907,0.9999999999913978,8.602305424416547e-12,0.0,80
pts,mixture,3.4726678997422717,7.906132198728116,0.9999999999999725,2.7380886214028043e-14,1.1102230246251565e-16,80
pts,mixture,1.793878926850869,4.630963918283312,0.9999999999419305,5.8069750132619106e-11,2.220446049250313e-16,80
pts,mixture,21.081347775933963,63.10892014074534,0.9999999999752439,2.475480426698729e-11,1.3322676295501878e-15,120
pts,mixture,1.6339188467685009,4.129665991332182,0.9999999999530625,4.693723549594435e-11,2.220446049250313e-16,80
pts,mixture,12.024620387932117,46.00755700076397,0.9999998374385662,1.6256143390755663e-07,2.220446049250313e-16,80
pts,mixture,13.579273823304183,31.56920786790434,0.9999999998770361,1.2296330024359484e-10,5.551115123125783e-16,80
