game_id,player_id,player_name,stat,book,market_key,period,line,raw_over_odds,raw_under_odds,no_vig_market_prob_over,no_vig_market_prob_under,p_over_win,p_under_win,p_push,p_over_settled,p_under_settled,frozen_model_probability_over,delivered_model_prob_over_final,reproduces_delivered_model_price,model_minus_market_over,pmf_hash,registry_pmf_hash,quote_hash,prediction_timestamp,quote_timestamp,pmf_column_used,audit_label
24970,591,Sabrina Ionescu,ast,pinnacle,player_assists,game,5.5,-111.0,-109.0,0.5021645958699511,0.4978354041300489,0.2362147825338807,0.7637852174661194,0.0,0.2362147825338807,0.7637852174661194,0.2362147825338807,,False,-0.2659498133360704,a2880c1be2aaacfb175815f6fddc29870f21e3466861a3c1e547935e873f4fc8,a2880c1be2aaacfb175815f6fddc29870f21e3466861a3c1e547935e873f4fc8,e1811d91b6587913371ade16dc44a4c72036540d3b5db79eeb174bb7a8540316,20260801T162447Z,2026-08-01T16:24:59Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,765,Monique Akoa Makani,pts_reb_ast,betonlineag,player_points_rebounds_assists,game,13.5,-111.0,-116.0,0.4948402542722694,0.5051597457277305,0.18957075,0.81042929,0.0,0.1895707424171703,0.8104292575828297,0.1895707424171703,0.18957074241717023,True,-0.3052695118550991,0fb138f6fc831ab4dcb8bf175ba152cc9885c57002a2beba51f455f971704c6f,0fb138f6fc831ab4dcb8bf175ba152cc9885c57002a2beba51f455f971704c6f,ace02bbc7f3b3c1dd57356dfe0aea866d8f57c23762d2dd624a67a9ddf3fec92,20260801T162447Z,2026-08-01T16:26:51Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,633,Natasha Mack,pts_reb,fanduel,player_points_rebounds,game,12.5,-112.0,-118.0,0.4939310568053083,0.5060689431946916,0.12963596,0.87036407,0.0,0.1296359561109213,0.8703640438890787,0.1296359561109213,0.12963595611092132,True,-0.364295100694387,8b158c73eedb8b2db6564d04d8b3222a5e8476ef5a3c515c78e8dbf60a6e991c,8b158c73eedb8b2db6564d04d8b3222a5e8476ef5a3c515c78e8dbf60a6e991c,8eb88a17159b3ddb3e48d5dbf0d8211f978683ec24337f03ed6f545ed5caf891,20260801T162447Z,2026-08-01T16:25:57Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,410,Chelsea Gray,ast,fanduel,player_assists,game,6.5,-112.0,-118.0,0.4939310568053083,0.5060689431946916,0.629985891469267,0.37001410853073297,0.0,0.629985891469267,0.37001410853073297,0.629985891469267,0.629985891469267,True,0.13605483466395868,5b43ddc22fd2a27d3baef6727f74da704944b58779f3fd933795d7ccaabc8d0e,5b43ddc22fd2a27d3baef6727f74da704944b58779f3fd933795d7ccaabc8d0e,db245eb76102d6c4fc214ef87eb7535a1274e0befeaf182b9069221d27b80fe1,20260801T162447Z,2026-08-01T16:26:04Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,410,Chelsea Gray,pts_ast,draftkings,player_points_assists,game,19.5,-112.0,-122.0,0.4901435104873048,0.5098564895126951,0.34080718,0.65919282,0.0,0.34080718,0.65919282,0.34080718,0.3408071800000001,True,-0.14933633048730482,0a3dced5cb89ea46b120a9195f6ae4708a51b964d4006580d46465ec532fef8d,0a3dced5cb89ea46b120a9195f6ae4708a51b964d4006580d46465ec532fef8d,b9d2904c22155b4b867339e16abb8d2b1fea1ebc88b083053e88eda6a5a6ec21,20260801T162447Z,2026-08-01T16:26:33Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,465,Jonquel Jones,pts,betonlineag,player_points,game,13.5,-112.0,-115.0,0.4969046636401156,0.5030953363598846,0.41534029,0.58465969,0.0,0.415340298306806,0.584659701693194,0.415340298306806,0.41534029830680586,True,-0.08156436533330957,df33437e00e493b9c5a949cec731f786ef7e2797c7749968b7e5512fcfa48758,df33437e00e493b9c5a949cec731f786ef7e2797c7749968b7e5512fcfa48758,ec6496d2c8999e447c452408970de7160aad3b9ffb6a591c74be51c046a730b9,20260801T162447Z,2026-08-01T16:26:51Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,591,Sabrina Ionescu,pts_reb_ast,fanduel,player_points_rebounds_assists,game,29.5,-112.0,-118.0,0.4939310568053083,0.5060689431946916,0.09845754,0.90154252,0.0,0.09845753409254794,0.901542465907452,0.09845753409254794,0.09845753409254794,True,-0.3954735227127604,92dc2ac3aedbbfc9ec24c3f1c09907b9c7349896ae277988d53e9ab96978e941,92dc2ac3aedbbfc9ec24c3f1c09907b9c7349896ae277988d53e9ab96978e941,49b5086f187a9816d80aedf1cd491ce1e8f07fd0e54746462db583383c647262,20260801T162447Z,2026-08-01T16:25:57Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,535,A'ja Wilson,pts_ast,draftkings,player_points_assists,game,30.5,-113.0,-120.0,0.49305831019436736,0.5069416898056327,0.4079292,0.59207079,0.0,0.40792920407929206,0.592070795920708,0.40792920407929206,0.40792920407929206,True,-0.08512910611507529,44d06b61ff09a7b8620f399c65e051bde85d56d6221c2ab5599708b588828dcc,44d06b61ff09a7b8620f399c65e051bde85d56d6221c2ab5599708b588828dcc,bf3e0ef4622a73c87bffd0e5c96d5542c168ef7ba1d792b1bb0464ca97865096,20260801T162447Z,2026-08-01T16:26:33Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,410,Chelsea Gray,pts,draftkings,player_points,game,12.5,-113.0,-117.0,0.4959548561951377,0.5040451438048622,0.5878702100000001,0.41212979,0.0,0.5878702100000001,0.41212979,0.5878702100000001,0.5878702100000002,True,0.09191535380486238,0a3dced5cb89ea46b120a9195f6ae4708a51b964d4006580d46465ec532fef8d,0a3dced5cb89ea46b120a9195f6ae4708a51b964d4006580d46465ec532fef8d,99c94fe53be76b9efc4b8774fdba432cef5acb19b7022d3278370ff09140d8c6,20260801T162447Z,2026-08-01T16:26:33Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,373,Alyssa Thomas,pts_reb,fanduel,player_points_rebounds,game,22.5,-114.0,-114.0,0.5,0.5,0.15769875,0.84230124,0.0,0.1576987515769875,0.8423012484230125,0.1576987515769875,0.1576987515769875,True,-0.34230124842301246,bd4d0921babd9fdef186282365fda0738f0063e206d03aac7c48eff33b4750fe,bd4d0921babd9fdef186282365fda0738f0063e206d03aac7c48eff33b4750fe,b0492f1c57143a0e9907a030b59748dea01cdd3980626373f3ab708ae1099745,20260801T162447Z,2026-08-01T16:25:57Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
